,Host Id,Host Since,Name,Neighbourhood ,Property Type,Review Scores Rating (bin),Room Type,Zipcode,Beds,Number of Records,Number Of Reviews,Price,Review Scores Rating
0,5162530,,1 Bedroom in Prime Williamsburg,Brooklyn,Apartment,,Entire home/apt,11249.0,1.0,1,0,145,
1,33134899,,"Sunny, Private room in Bushwick",Brooklyn,Apartment,,Private room,11206.0,1.0,1,1,37,
2,39608626,,Sunny Room in Harlem,Manhattan,Apartment,,Private room,10032.0,1.0,1,1,28,
3,500,2008-06-26,Gorgeous 1 BR with Private Balcony,Manhattan,Apartment,,Entire home/apt,10024.0,3.0,1,0,199,
4,500,2008-06-26,Trendy Times Square Loft,Manhattan,Apartment,95.0,Private room,10036.0,3.0,1,39,549,96.0
5,1039,2008-07-25,Big Greenpoint 1BD w/ Skyline View,Brooklyn,Apartment,100.0,Entire home/apt,11222.0,1.0,1,4,149,100.0
6,1783,2008-08-12,Amazing Also,Manhattan,Apartment,100.0,Entire home/apt,10004.0,1.0,1,9,250,100.0
7,2078,2008-08-15,"Colorful, quiet, & near the subway!",Brooklyn,Apartment,90.0,Private room,11201.0,1.0,1,80,90,94.0
8,2339,2008-08-20,East Village Cocoon: 2 Bedroom Flat,Manhattan,Apartment,90.0,Entire home/apt,10009.0,2.0,1,95,270,90.0
9,2339,2008-08-20,Lovely 2 Bedroom East Village Nest,Manhattan,Apartment,95.0,Entire home/apt,10009.0,2.0,1,23,290,96.0
10,2571,2008-08-27,THE PUTNAM,Brooklyn,Apartment,95.0,Entire home/apt,11221.0,2.0,1,14,170,98.0
11,2758,2008-09-06,Stay at Chez Chic budget room #1,Manhattan,Apartment,90.0,Private room,10026.0,2.0,1,120,59,93.0
12,2758,2008-09-06,Stay at Chez Chic budget Room #2,Manhattan,Apartment,90.0,Private room,10026.0,2.0,1,81,49,91.0
13,2787,2008-09-07,Renovated and spacious townhome,Brooklyn,House,,Private room,11223.0,1.0,1,0,68,
14,2845,2008-09-09,Midtown Castle,Manhattan,Apartment,95.0,Entire home/apt,10018.0,1.0,1,17,285,97.0
15,2881,2008-09-10,Newly renovated historic brownstone,Brooklyn,Apartment,95.0,Private room,11216.0,1.0,1,32,75,95.0
16,2965,2008-09-14,Large Bedroom in 3-bedroom Apt.,Manhattan,Apartment,95.0,Private room,10025.0,1.0,1,52,145,99.0
17,3211,2008-09-25,"Elegant NYC, 10mins to Manhattan!",Queens,Apartment,90.0,Private room,11106.0,1.0,1,3,100,93.0
18,3227,2008-09-26,"Priv Apt,Garden,BBQ,A/C,BigTV,for 4",Manhattan,Apartment,85.0,Entire home/apt,10001.0,3.0,1,171,150,85.0
19,3226,2008-09-26,Great 3 Bed Apt Tribeca / Soho,Manhattan,Apartment,,Entire home/apt,10013.0,3.0,1,0,700,
20,3226,2008-09-26,Huge Room Soho LOFT off WBroadway,Manhattan,Apartment,85.0,Private room,10013.0,1.0,1,9,125,86.0
21,3226,2008-09-26,Master Room Soho LOFT off WBroadway,Manhattan,Apartment,,Private room,10013.0,1.0,1,0,175,
22,3415,2008-10-02,Beautiful Furnished Master Bedroom,Queens,House,,Private room,11365.0,1.0,1,0,90,
23,3563,2008-10-10,16' x 11' Furnished BR with Balcony,Brooklyn,Apartment,100.0,Private room,11220.0,1.0,1,1,40,100.0
24,3647,2008-10-14,Conveniently Queens with Two Rooms,Queens,Apartment,90.0,Entire home/apt,11373.0,1.0,1,4,89,93.0
25,3647,2008-10-14,Quality Cozy Studio Next to Subway,Queens,Apartment,90.0,Entire home/apt,11373.0,1.0,1,16,95,94.0
26,3647,2008-10-14,Queens Quality Convenient Apartment,Queens,Apartment,100.0,Entire home/apt,11373.0,2.0,1,9,99,100.0
27,3867,2008-10-29,1 Bedroom Apartment in Chinatown!,Manhattan,Apartment,90.0,Entire home/apt,10002.0,1.0,1,19,149,93.0
28,3867,2008-10-29,3 bedroom apartment in Chinatown!,Manhattan,Apartment,80.0,Entire home/apt,10038.0,4.0,1,2,499,80.0
29,3867,2008-10-29,Private bedroom in spacious loft!,Manhattan,Apartment,,Private room,10038.0,4.0,1,0,99,
30,3867,2008-10-29,Share a bedroom in a huge Apartment,Manhattan,Apartment,,Shared room,10038.0,1.0,1,0,99,
31,3867,2008-10-29,Share a bedroom in a huge Apartment,Manhattan,Apartment,,Shared room,10038.0,1.0,1,0,99,
32,4177,2008-11-09,++ Brooklyn Penthouse Guestroom ++,Brooklyn,Apartment,90.0,Private room,11206.0,1.0,1,16,125,94.0
33,4267,2008-11-12,Robin's Nest on the fabulous UWS,Manhattan,Apartment,85.0,Entire home/apt,10024.0,2.0,1,28,170,88.0
34,4267,2008-11-12,Airy Room on the fabulous UWS,Manhattan,Apartment,90.0,Private room,10024.0,1.0,1,62,120,92.0
35,4396,2008-11-19,"Large Room, Amazing E. Village Apt",Manhattan,Apartment,85.0,Private room,10009.0,1.0,1,23,79,89.0
36,4488,2008-11-21,Sunny & Bright Harlem Home,Manhattan,Apartment,95.0,Entire home/apt,10027.0,3.0,1,6,125,97.0
37,4732,2008-12-01,A home in the heart of Park Slope,Brooklyn,Apartment,90.0,Entire home/apt,11217.0,1.0,1,5,110,92.0
38,4869,2008-12-07,Whole B'stone flr w priv kit & bat,Brooklyn,Other,85.0,Private room,11238.0,3.0,1,14,89,85.0
39,5871,2008-12-31,Bergen's Best Short Stay 2!,Brooklyn,Apartment,90.0,Entire home/apt,11213.0,3.0,1,12,180,93.0
40,5871,2008-12-31,Bergen's Best!,Brooklyn,Apartment,95.0,Entire home/apt,11213.0,3.0,1,5,180,95.0
41,5926,2009-01-02,Charming Central Park Hideaway,Manhattan,Apartment,80.0,Entire home/apt,10026.0,1.0,1,23,143,82.0
42,5926,2009-01-02,NYC 2-Bed Apt Mins to Times Square,Manhattan,Apartment,85.0,Entire home/apt,10027.0,2.0,1,28,230,89.0
43,5926,2009-01-02,Beautiful Apt with Park Views,Manhattan,Apartment,85.0,Entire home/apt,10030.0,5.0,1,40,350,86.0
44,5940,2009-01-02,Comfy 2BR Apt 20 mins to Midtown,Queens,Apartment,85.0,Entire home/apt,11368.0,2.0,1,47,135,86.0
45,5926,2009-01-02,Beautiful Room 1 with Park Views,Manhattan,Apartment,85.0,Private room,10027.0,1.0,1,9,85,87.0
46,5926,2009-01-02,Beautiful Room 2 with Park Views,Manhattan,Apartment,90.0,Private room,10027.0,1.0,1,13,85,91.0
47,5926,2009-01-02,Beautiful Room 3 with Park Views,Manhattan,Apartment,90.0,Private room,10027.0,1.0,1,14,85,92.0
48,5926,2009-01-02,Nice Apt Near Columbia University 2,Manhattan,Apartment,80.0,Private room,10031.0,1.0,1,35,60,81.0
49,5926,2009-01-02,Nice Apt Near Columbia University 3,Manhattan,Apartment,80.0,Private room,10031.0,2.0,1,34,70,82.0
50,5926,2009-01-02,Nice  Apt Near Columbia University,Manhattan,Bed & Breakfast,85.0,Private room,10031.0,1.0,1,68,55,86.0
51,6041,2009-01-05,Beautiful Apt. In Astoria,Queens,Apartment,100.0,Private room,11105.0,1.0,1,4,44,100.0
52,7118,2009-01-26,PERFECT location! Contact me NOW!,Manhattan,Apartment,85.0,Entire home/apt,10036.0,1.0,1,14,200,87.0
53,7222,2009-01-29,SPACIOUS ARTY 1BR NOHO / E. VILLAGE,Manhattan,Apartment,95.0,Entire home/apt,10003.0,2.0,1,42,175,95.0
54,7209,2009-01-29,Next to Empire State building,Manhattan,Apartment,100.0,Entire home/apt,10016.0,1.0,1,9,250,100.0
55,7230,2009-01-30,"Luxury Building, big 1BR - 90th",Manhattan,Apartment,95.0,Entire home/apt,10128.0,2.0,1,7,165,96.0
56,7323,2009-02-02,CHEZ LEO Clinton Hill Ft. Greene,Brooklyn,Apartment,85.0,Entire home/apt,11238.0,1.0,1,13,115,88.0
57,7299,2009-02-02,"Downtown calm, convenience & space",Manhattan,Apartment,95.0,Entire home/apt,10005.0,1.0,1,16,145,95.0
58,7322,2009-02-02,Large & Cozy Midtown East 1 BR Apt,Manhattan,Apartment,85.0,Entire home/apt,10016.0,1.0,1,47,200,86.0
59,7351,2009-02-02,2 Floor Loft room in Artist Studio,Brooklyn,Loft,80.0,Private room,11215.0,2.0,1,3,74,80.0
60,7351,2009-02-02,Spacious Loft Room in Artist Studio,Brooklyn,Loft,,Private room,11215.0,2.0,1,0,74,
61,7351,2009-02-02,Spacious room in Huge artist Loft,Brooklyn,Loft,100.0,Private room,11215.0,1.0,1,2,84,100.0
62,7338,2009-02-02,East Vil  1br in 2br apt + balcony,Manhattan,Apartment,100.0,Private room,10009.0,,1,3,125,100.0
63,7386,2009-02-03,Quiet Slice of Manhattan,Manhattan,Apartment,90.0,Entire home/apt,10016.0,1.0,1,42,129,92.0
64,7356,2009-02-03,BlissArtsSpace!,Brooklyn,Apartment,90.0,Private room,11216.0,1.0,1,41,50,90.0
65,7356,2009-02-03,Private Bliss Art Space 2,Brooklyn,Apartment,90.0,Private room,11216.0,1.0,1,52,50,93.0
66,7414,2009-02-04,Historic Fort Greene - Red Rooster,Brooklyn,Apartment,80.0,Entire home/apt,11217.0,3.0,1,15,185,82.0
67,7414,2009-02-04,Historic Fort Greene-Deco on Greene,Brooklyn,Apartment,85.0,Entire home/apt,11217.0,3.0,1,21,185,85.0
68,7414,2009-02-04,Skylight on Greene,Brooklyn,Apartment,75.0,Entire home/apt,11217.0,3.0,1,6,150,76.0
69,7498,2009-02-06,Your own studio+patio no roommates,Manhattan,Apartment,80.0,Entire home/apt,10002.0,1.0,1,1,80,80.0
70,7510,2009-02-06,Big Lovely Chelsea Studio! Sleeps 5,Manhattan,Apartment,85.0,Entire home/apt,10010.0,1.0,1,8,190,89.0
71,7510,2009-02-06,Grande Super Large APT !!!,Manhattan,Apartment,80.0,Entire home/apt,10010.0,3.0,1,10,190,80.0
72,7510,2009-02-06,Great Apartment with PATIO!!,Manhattan,Apartment,80.0,Entire home/apt,10010.0,2.0,1,1,190,80.0
73,7510,2009-02-06,Super Large APT,Manhattan,Apartment,80.0,Entire home/apt,10010.0,2.0,1,29,175,80.0
74,7510,2009-02-06,HUGE and SUNNY one bedroom!,Manhattan,Apartment,90.0,Entire home/apt,10011.0,2.0,1,29,190,93.0
75,7549,2009-02-07,Cute & Cozy Lower East Side 1 bdrm,Manhattan,Apartment,90.0,Entire home/apt,10002.0,1.0,1,112,140,94.0
76,7549,2009-02-07,"Cute,Cozy Lower East Side 1bdrm",Manhattan,Apartment,95.0,Entire home/apt,10002.0,1.0,1,4,140,95.0
77,7549,2009-02-07,LowerEastSide apt share shortterm 2,Manhattan,Apartment,95.0,Private room,10002.0,1.0,1,25,75,97.0
78,7549,2009-02-07,LowerEastSide apt share shortterm 1,Manhattan,Apartment,95.0,Shared room,10002.0,1.0,1,132,45,95.0
79,7549,2009-02-07,LowerEastSide apt share shortterm 3,Manhattan,Apartment,95.0,Shared room,10002.0,1.0,1,17,45,95.0
80,7611,2009-02-09,Artist's Loft with indoor Hammock!,Brooklyn,Apartment,95.0,Entire home/apt,11211.0,1.0,1,51,135,95.0
81,7626,2009-02-09,L.E.S. Must See!!,Manhattan,Apartment,85.0,Entire home/apt,10002.0,1.0,1,156,100,86.0
82,7612,2009-02-09,Cute Cozy Studio in Manhattan,Manhattan,Apartment,90.0,Entire home/apt,10023.0,1.0,1,29,145,91.0
83,7702,2009-02-10,Beautiful 1br on Upper West Side,Manhattan,Apartment,90.0,Entire home/apt,10025.0,1.0,1,30,135,94.0
84,7740,2009-02-11,Cozy Girly Studio; Upper West Side,Manhattan,Apartment,90.0,Entire home/apt,10024.0,1.0,1,98,200,94.0
85,7949,2009-02-15,Creative Charm in Brooklyn,Brooklyn,Apartment,100.0,Private room,11238.0,1.0,1,4,65,100.0
86,7999,2009-02-16,Sunny Large 1 Bedroom w/ balconies!,Brooklyn,Apartment,100.0,Entire home/apt,11222.0,1.0,1,1,165,100.0
