Season,No overall,No in season,Title,Directed by,Written by,Original air date,U S viewers (millions)
1,1,1,"""Pilot""",Anthony Russo & Joe Russo,Dan Harmon,100,7.89
1,2,2,"""Spanish 101""",Joe Russo,Dan Harmon,101,5.39
1,3,3,"""Introduction to Film""",Anthony Russo,Tim Hobert & Jon Pollack,102,5.86
1,4,4,"""Social Psychology""",Anthony Russo,Liz Cackowski,104,4.87
1,5,5,"""Advanced Criminal Law""",Joe Russo,Andrew Guest,105,5.01
1,6,6,"""Football, Feminism and You""",Joe Russo,Hilary Winston,103,5.04
1,7,7,"""Introduction to Statistics""",Justin Lin,Tim Hobert & Jon Pollack,106,5.32
1,8,8,"""Home Economics""",Anthony Russo,Lauren Pomerantz,107,5.45
1,9,9,"""Debate 109""",Joe Russo,Tim Hobert,109,5.09
1,10,10,"""Environmental Science""",Seth Gordon,Zach Paez,108,4.86
1,11,11,"""The Politics of Human Sexuality""",Anthony Russo,Hilary Winston,110,5.42
1,12,12,"""Comparative Religion""",Adam Davidson,Liz Cackowski,111,5.51
1,13,13,"""Investigative Journalism""",Joe Russo,Jon Pollack & Tim Hobert,113,5.42
1,14,14,"""Interpretive Dance""",Justin Lin,Lauren Pomerantz,112,4.75
1,15,15,"""Romantic Expressionism""",Joe Russo,Andrew Guest,115,5.23
1,16,16,"""Communication Studies""",Adam Davidson,Chris McKenna,116,5.15
1,17,17,"""Physical Education""",Anthony Russo,Jessie Miller,118,5.02
1,18,18,"""Basic Genealogy""",Ken Whittingham,Karey Dornetto,117,4.60
1,19,19,"""Beginner Pottery""",Anthony Russo,Hilary Winston,114,5.07
1,20,20,"""The Science of Illusion""",Adam Davidson,Zach Paez,122,5.07
1,21,21,"""Contemporary American Poultry""",Tristram Shapeero,Emily Cutler & Karey Dornetto,123,3.67
1,22,22,"""The Art of Discourse""",Adam Davidson,Chris McKenna,124,4.36
1,23,23,"""Modern Warfare""",Justin Lin,Emily Cutler,119,4.35
1,24,24,"""English as a Second Language""",Gail Mancuso,Tim Hobert,120,4.49
1,25,25,"""Pascal's Triangle Revisited""",Joe Russo,Hilary Winston,121,4.43
2,26,1,"""Anthropology 101""",Joe Russo,Chris McKenna,201,5.00
2,27,2,"""Accounting for Lawyers""",Joe Russo,Emily Cutler,203,4.53
2,28,3,"""The Psychology of Letting Go""",Anthony Russo,Hilary Winston,202,4.20
2,29,4,"""Basic Rocket Science""",Anthony Russo,Andy Bobrow,204,4.81
2,30,5,"""Messianic Myths and Ancient Peoples""",Tristram Shapeero,Andrew Guest,205,4.46
2,31,6,"""Epidemiology""",Anthony Hemingway,Karey Dornetto,206,5.64
2,32,7,"""Aerodynamics of Gender""",Tristram Shapeero,Adam Countee,207,4.61
2,33,8,"""Cooperative Calligraphy""",Joe Russo,Megan Ganz,208,4.53
