date,count
2013-01-01,1087
2013-02-01,863
2013-03-01,1039
2013-04-01,1029
2013-05-01,1115
2013-06-01,1392
2013-07-01,1276
2013-08-01,1176
2013-09-01,1090
2013-10-01,1076
2013-11-01,1072
2013-12-01,1899
2014-01-01,990
2014-02-01,856
2014-03-01,970
2014-04-01,1044
2014-05-01,1162
2014-06-01,1310
2014-07-01,1173
2014-08-01,1156
2014-09-01,1104
2014-10-01,1140
2014-11-01,1080
2014-12-01,1981
2015-01-01,1139
2015-02-01,880
2015-03-01,1102
2015-04-01,1077
2015-05-01,1297
2015-06-01,1432
2015-07-01,1368
2015-08-01,1353
2015-09-01,1332
2015-10-01,1253
2015-11-01,1234
2015-12-01,2176
2016-01-01,1204
2016-02-01,1018
2016-03-01,1198
2016-04-01,1269
2016-05-01,1368
2016-06-01,1611
2016-07-01,1501
2016-08-01,1495
2016-09-01,1385
2016-10-01,1445
2016-11-01,1408
2016-12-01,2221
2017-01-01,1402
2017-02-01,1128
2017-03-01,1194
2017-04-01,1258
2017-05-01,1350
2017-06-01,1401
2017-07-01,1503
2017-08-01,1395
2017-09-01,1327
2017-10-01,1413
2017-11-01,1753
2017-12-01,2342
2018-01-01,1302
2018-02-01,1072
2018-03-01,1163
2018-04-01,1236
2018-05-01,1295
2018-06-01,1363
2018-07-01,1395
2018-08-01,1323
2018-09-01,1277
2018-10-01,1214
2018-11-01,1207
2018-12-01,3006
2019-01-01,1207
2019-02-01,1079
2019-03-01,1157
2019-04-01,1157
2019-05-01,1354
2019-06-01,1341
2019-07-01,1343
2019-08-01,1323
2019-09-01,1275
2019-10-01,1233
2019-11-01,1193
2019-12-01,3032
2020-01-01,1358
2020-02-01,1130
2020-03-01,1342
2020-04-01,1393
2020-05-01,1628
2020-06-01,1843
2020-07-01,1972
2020-08-01,1884
2020-09-01,1765
2020-10-01,1915
2020-11-01,1756
2020-12-01,3601
2021-01-01,1355
2021-02-01,1152
2021-03-01,1191
2021-04-01,1305
2021-05-01,1536
2021-06-01,1479
2021-07-01,1677
2021-08-01,1524
2021-09-01,1566
2021-10-01,1624
2021-11-01,1456
2021-12-01,2044
2022-01-01,1667
2022-02-01,1478
2022-03-01,1662
2022-04-01,1720
2022-05-01,1947
2022-06-01,1863
2022-07-01,2097
2022-08-01,1905
2022-09-01,1682
2022-10-01,1787
2022-11-01,1541
2022-12-01,2519
2023-01-01,1658
2023-02-01,1367
2023-03-01,1556
2023-04-01,1574
2023-05-01,1687
2023-06-01,1702
2023-07-01,1844
2023-08-01,1637
2023-09-01,1570
2023-10-01,1588
2023-11-01,1428
2023-12-01,2102
2024-01-01,1354
2024-02-01,1255
2024-03-01,1329
2024-04-01,1334
2024-05-01,1511
2024-06-01,1493
2024-07-01,1545
2024-08-01,1416
2024-09-01,1327
2024-10-01,1383
2024-11-01,1219
2024-12-01,1825
2025-01-01,1077
2025-02-01,973
2025-03-01,1003
2025-04-01,1033
2025-05-01,1054
2025-06-01,1057
2025-07-01,1014
2025-08-01,757
2025-09-01,510
2025-10-01,35
