Region,Interest
Czechia,100
Montenegro,
Sweden,78
Serbia,77
Bosnia & Herzegovina,70
Iceland,
Belize,
Croatia,63
Norway,63
Slovakia,62
Poland,61
Netherlands,61
Estonia,60
Malta,
Denmark,50
Australia,49
Finland,45
Hungary,45
United States,42
Albania,
North Macedonia,
Cyprus,
Belgium,39
Luxembourg,
United Kingdom,36
Greece,36
Slovenia,35
Lebanon,35
United Arab Emirates,35
New Zealand,34
Canada,33
Latvia,33
Portugal,32
Lithuania,31
Romania,30
Puerto Rico,29
Ireland,29
Germany,28
Brazil,28
Kosovo,
Bahrain,
Austria,26
Hong Kong,24
Greenland,
Kuwait,
Qatar,
Switzerland,20
Mongolia,
Bulgaria,15
Singapore,14
Morocco,14
Georgia,
Azerbaijan,
Türkiye,12
Tunisia,
Moldova,
France,9
South Africa,8
Jordan,
Oman,
Italy,7
Paraguay,
Ghana,
Pakistan,6
Saudi Arabia,5
Israel,
Egypt,5
Algeria,
Nepal,
Iraq,
Spain,4
Sri Lanka,
Malaysia,3
India,3
Fiji,
Taiwan,2
Kenya,
Réunion,
Nigeria,
Philippines,1
Bangladesh,
Peru,
Thailand,
Chile,
Mauritius,
Mexico,<1
Turkmenistan,
South Korea,
Argentina,
Colombia,
Vietnam,
Ukraine,
China,
Trinidad & Tobago,
Indonesia,<1
Japan,<1
Iran,
Russia,
St. Helena,
Costa Rica,
Uruguay,
Guatemala,
Venezuela,
Aruba,
Zimbabwe,
British Indian Ocean Territory,
Haiti,
Honduras,
Heard & McDonald Islands,
Guyana,
Guam,
French Guiana,
Jamaica,
Jersey,
Grenada,
Equatorial Guinea,
Kazakhstan,
Guinea-Bissau,
Kyrgyzstan,
Cambodia,
Kiribati,
St. Kitts & Nevis,
Gambia,
Guadeloupe,
Laos,
Guinea,
Angola,
Libya,
St. Lucia,
Liechtenstein,
Gibraltar,
Lesotho,
Guernsey,
Gabon,
Micronesia,
Macao,
St. Martin,
Faroe Islands,
Monaco,
Falkland Islands (Islas Malvinas),
Madagascar,
Maldives,
Ethiopia,
Marshall Islands,
Western Sahara,
Mali,
Eritrea,
Myanmar (Burma),
Ecuador,
Dominican Republic,
Northern Mariana Islands,
Mozambique,
Mauritania,
Montserrat,
Martinique,
Dominica,
Malawi,
Djibouti,
Mayotte,
Namibia,
New Caledonia,
Niger,
Norfolk Island,
Cayman Islands,
Nicaragua,
Niue,
Christmas Island,
Curaçao,
Cuba,
Nauru,
Cape Verde,
Comoros,
Cook Islands,
Panama,
Pitcairn Islands,
Congo - Brazzaville,
Congo - Kinshasa,
Isle of Man,
Papua New Guinea,
Cameroon,
Côte d’Ivoire,
North Korea,
Cocos (Keeling) Islands,
Central African Republic,
Palestine,
French Polynesia,
Botswana,
Bouvet Island,
Bhutan,
Brunei,
Rwanda,
Barbados,
Sudan,
Senegal,
Bolivia,
South Georgia & South Sandwich Islands,
Bermuda,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
El Salvador,
San Marino,
Somalia,
St. Pierre & Miquelon,
Belarus,
South Sudan,
São Tomé & Príncipe,
Suriname,
St. Barthélemy,
Bahamas,
Burkina Faso,
Eswatini,
Sint Maarten,
Seychelles,
Syria,
Turks & Caicos Islands,
Chad,
Togo,
Caribbean Netherlands,
Tajikistan,
Tokelau,
Benin,
Timor-Leste,
Tonga,
Burundi,
Antigua & Barbuda,
French Southern Territories,
Tuvalu,
Antarctica,
Tanzania,
Uganda,
American Samoa,
U.S. Outlying Islands,
Armenia,
Andorra,
Uzbekistan,
Vatican City,
St. Vincent & Grenadines,
Åland Islands,
British Virgin Islands,
U.S. Virgin Islands,
Anguilla,
Vanuatu,
Wallis & Futuna,
Samoa,
Afghanistan,
Yemen,
Liberia,
Zambia,
Palau,
